ID,Incident_ID,Crime,Location,Date_Time,Longitude,Latitude,Agency,Accuracy,Address,Date_Time_Unix,Temp,Pressure,Humidity,Wind_Speed,Condition,Description,Rain_3h,Snow_3h,Date_Time_ISO
0,13-010407,Larceny,Residential,"Mar 28, 2013 3:33 PM",-73.6848,42.736,Troy Police Department,Address,22XX OLD 6TH AVE,1364497200,282.21,1010,44,4,Clouds,few clouds,,,2013-03-28 19:00:00 +0000 UTC
1,13-010265,Burglary,Residential,"Mar 27, 2013 3:00 PM",-73.6913,42.7248,Troy Police Department,Address,1XX 3RD ST,1364410800,280.08,1007,37,2,Clear,sky is clear,,,2013-03-27 19:00:00 +0000 UTC
2,13-010245,Larceny,Residential,"Mar 27, 2013 12:10 PM",-73.6846,42.7125,Troy Police Department,Address,1XX DELAWARE AVE,1364400000,278.08,1007,0,1,Clouds,few clouds,,,2013-03-27 16:00:00 +0000 UTC
3,13-010143,Burglary,Residential,"Mar 26, 2013 3:30 PM",-73.6913,42.725,Troy Police Department,Address,1XX 3RD ST,1364324400,279.34,1000,51,4,Clouds,overcast clouds,,,2013-03-26 19:00:00 +0000 UTC
4,13-010311,Larceny,School,"Mar 26, 2013 9:50 AM",-73.6706,42.7291,Troy Police Department,Address,19XX BURDETT AVE,1364302800,273.54,1006,0,3,Clouds,overcast clouds,,,2013-03-26 13:00:00 +0000 UTC
5,13-010108,Larceny,Residential,"Mar 26, 2013 8:30 AM",-73.6954,42.7181,Troy Police Department,Address,3XX 1ST ST,1364299200,272.56,1006,68,3,Clouds,overcast clouds,,,2013-03-26 12:00:00 +0000 UTC
6,13-010034,Burglary,Residential,"Mar 25, 2013 6:30 PM",-73.6793,42.7268,Troy Police Department,Address,1XX 14TH ST,1364248800,278.27,1006,59,2,Clouds,overcast clouds,,,2013-03-25 22:00:00 +0000 UTC
7,13-010009,Larceny,Residential,"Mar 25, 2013 2:22 PM",-73.6957,42.7164,Troy Police Department,Address,3XX 1ST ST,1364234400,277.64,1011,48,0,Clouds,scattered clouds,,,2013-03-25 18:00:00 +0000 UTC
8,13-009841,Larceny,Hospital,"Mar 24, 2013 11:54 PM",-73.6761,42.743,Troy Police Department,Address,13XX MASSACHUSETTS AVE,1364180400,273.68,1009,76,0,Clouds,few clouds,,,2013-03-25 03:00:00 +0000 UTC
9,13-009934,Burglary,Residential,"Mar 24, 2013 8:52 PM",-73.6807,42.7262,Troy Police Department,Address,XX 13TH ST,1364169600,274.75,1008,65,8,Clouds,scattered clouds,,,2013-03-25 00:00:00 +0000 UTC
10,13-009853,Larceny,Street,"Mar 24, 2013 1:25 AM",-73.6928,42.726,Troy Police Department,Address,1XX 2ND ST,1364101200,271.26,1009,80,1,Clouds,few clouds,,,2013-03-24 05:00:00 +0000 UTC
